Country.Name,GDP_per_capita,Education_Pct_Exp,Agriculture_Pct,Industry_Pct,Service_Pct,Export_Pct,Import_Pct,Inflation,Science_Articles,Unemployment,F_M_Labor_Ratio
Bolivia,3548.590153,6.08,31.06399918,19.4810009,49.45399857,25.98879504,31.12116968,3.056266712,102.8,3.53399992,78.62087257
Cabo Verde,3617.327488,5.213164685,11.8380003,21.87999916,66.28199768,49.23106403,68.04360937,1.52382748,8.69,12.17000008,78.62965572
Indonesia,3893.846425,3.266724755,29.63400078,22.28899956,48.07699966,20.97222057,22.02972352,3.819740524,26947.57,4.511000156,64.62031957
El Salvador,4067.659449,3.56002886,16.70800018,22.20400047,61.08800125,28.78222947,48.3928339,2.075183689,45.44,4.006000042,59.69649476
Sri Lanka,4080.567125,1.620583798,25.2329998,29.08600044,45.68199921,22.9179322,30.30948293,4.338200941,1347.54,4.118999958,47.52153968
Algeria,4114.715061,4.4671956,10.02299976,30.80900002,59.16799927,25.62354695,32.34102206,7.556585001,5231.44,11.88199997,21.55949698
Mongolia,4134.987198,4.332735857,27.99500084,19.17399979,52.83100128,58.47234962,64.02693556,8.411834917,140.85,6.254000187,80.33563439
Eswatini,4145.97411,6.790915871,12.68099976,24.03300095,63.2859993,40.50137274,43.91196862,2.791124895,34.05,22.36100006,85.45914349
Samoa,4183.408032,4.24,30.76499939,22.82900047,46.40599823,34.22361811,50.28703472,2.038540318,11.05,8.312000275,56.15173133
Armenia,4220.490277,2.290595158,30.43600082,16.88500023,52.67900085,37.73125509,53.38327421,2.787709514,521.33,17.49600029,71.49364175
Moldova,4233.999556,4.643151747,36.09899902,16.51300049,47.38899994,30.13870506,55.72752032,3.180022993,210.37,2.977999926,88.69563759
Jordan,4241.788782,3.230699326,3.134000063,24.70000076,72.16600037,35.63874598,54.55869788,1.765061562,2627.29,14.95899963,22.45469126
Guatemala,4472.892363,2.761659673,31.72699928,18.72400093,49.54999924,18.22147933,28.93736293,1.228596621,99.89,2.40199995,46.22466893
Georgia,4722.787783,1.76,42.42499924,13.53199959,44.04299927,50.55852769,61.19701162,4.334225228,550.41,13.78499985,71.11237947
Azerbaijan,4739.84171,2.55164928,36.25999832,14.72000027,49.02000046,54.09229386,37.58028267,12.18443296,761.43,4.900000095,90.71463859
Belize,4884.734162,6.39,17.08600044,15.68000031,67.23400116,57.70234609,58.00791738,-0.201776771,9.11,6.512000084,61.58081508
Guyana,4979.002188,2.92,17.48699951,22.78499985,59.72800064,35.47094753,47.12317681,5.418754318,13.7,11.90600014,63.86876017
Albania,5284.380184,3.301985662,37.31399918,19.75099945,42.93600082,31.53738009,45.2636668,1.359400395,180.36,12.34000015,72.3054825
Jamaica,5354.236859,5.554724971,16.22900009,16.09499931,67.6760025,37.95785341,51.06852833,4.846876221,163.85,9.104000092,82.31853845
Namibia,5495.428836,2.889811226,22.5909996,16.22100067,61.18899918,36.34458149,46.4045045,4.29891523,156.31,19.87700081,88.15358336
Paraguay,5805.675616,3.360841354,20.07699966,18.58499908,61.33800125,35.92359163,34.75217546,2.186746242,97.98,4.53399992,69.70964338
Iraq,5834.166211,4.6,18.38299942,22.37100029,59.24599838,43.97686044,35.94843396,15.36063802,6073.39,12.86200047,15.38160912
North Macedonia,6062.942604,3.268428779,15.72200012,31.36000061,52.91899872,60.57794737,73.15216252,3.643550519,493.05,20.73600006,63.6955988
Ecuador,6295.935399,3.93,28.82500076,18.52599907,52.64899826,22.60468399,23.75744696,1.818873571,2142.19,3.529999971,67.94103764
Belarus,6330.075246,4.703876886,11.31299973,30.62899971,58.05699921,70.45504526,68.93869099,12.13922998,1179.81,4.760000229,80.60187729
South Africa,6374.028196,6.045346965,5.166999817,23.14699936,71.68599701,29.9070826,29.56325111,3.916539626,13008.74,26.92000008,78.85224995
